,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,locally_defined,is_submittable_by_client,Reason
812667,65917,multiboot,0.4.0,multiboot,1ef2440825c22254,2015,298613268,107811635,96579532,Root,{{root}},src/lib.rs,280,12,UnsafeBlockUserProvided,92633329,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True (unsafe),Callback
42569,1683,nalgebra,0.19.0,nalgebra,5385cc2b031a9b17,2018,8769202,3118182,2816503,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/nalgebra-0.19.0/src/base/matrix.rs,788,16,UnsafeBlockUserProvided,2640091,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
61679,2734,ocl-core,0.11.2,ocl_core,25cef5fd30f0e12e,2015,13110987,4670188,4166883,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/ocl-core-0.11.2/src/functions.rs,1014,18,UnsafeBlockUserProvided,3913413,Normal,system,non-const,non-const,non-const,False,True,False,False,FFI
135413,6269,peroxide,0.19.3,peroxide,c1018102e59c65dd,2015,30932559,10781612,9643741,Root,{{root}},src/structure/matrix.rs,2094,12,UnsafeBlockUserProvided,9259009,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
867883,72630,plugkit,0.0.9,plugkit,77b7d777badb34d2,2015,328168566,118515816,106210763,Root,{{root}},src/context.rs,47,8,UnsafeBlockUserProvided,101839331,Normal,C,non-const,non-const,non-const,False,True,False,False,FFI
573675,38720,pool,0.1.4,pool,799ede76c248aa4a,2015,178605671,64176926,57310590,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/pool-0.1.4/src/lib.rs,80,12,UnsafeBlockUserProvided,55152194,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
722440,56926,predicator,0.0.5,predicator,ef4bff3a93e73d,2015,260528602,93530705,83707415,Root,{{root}},src/main.rs,31,14,UnsafeBlockUserProvided,80453951,Unsafe,C,non-const,non-const,non-const,False,True,False,True,Callback
896184,77512,pretty_backtrace,0.1.2,pretty_backtrace,a7a1445e00225fe7,2018,350774816,126574624,113279522,MacroDerive,#[derive(__rental_structs_and_impls)],<::rental::rental macros>,6,36,UnsafeBlockUserProvided,108750995,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
506864,31837,probe-rs,0.3.0,probe_rs,e233ee35198c847b,2018,145546139,52000353,46603426,MacroDerive,#[derive(__rental_structs_and_impls)],<::rental::rental macros>,17,36,UnsafeBlockUserProvided,44853899,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
560997,37813,psocket,0.1.5,psocket,c032ac201ab91d79,2015,174269416,62533833,55861952,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/psocket-0.1.5/src/sys_common/net.rs,88,4,UnsafeBlockUserProvided,53804868,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,False,Callback
942860,83467,qmetaobject,0.1.4,qmetaobject,27744a8cdda67cc,2018,378231255,136406222,122103044,Root,{{root}},src/qmetatype.rs,84,16,UnsafeBlockUserProvided,117258838,Normal,Rust,non-const,non-const,non-const,False,True,False,True,Callback
45911,1872,rayon,1.3.0,rayon,32432fc6d3aeb2f6,2018,9367300,3380068,3060555,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/rayon-1.3.0/src/slice/quicksort.rs,444,8,UnsafeBlockUserProvided,2846350,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
355435,17026,rbpf,0.1.0,rbpf,eb0fc663f50b6def,2015,77097324,27381770,24536920,Root,{{root}},src/lib.rs,425,36,UnsafeBlockUserProvided,23718955,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,True,False,Code reuse
441388,26784,redis-cell,0.2.2,redis_cell,cd5ee3da9c3aff38,2015,119860467,42743915,38426688,Root,{{root}},src/redis/raw.rs,173,4,UnsafeBlockUserProvided,37115867,Normal,C,non-const,non-const,non-const,False,True,False,False,FFI
237791,10233,retro-rs,0.1.9,retro_rs,7335b2cd5d485ed8,2018,47368785,16831952,15125829,Root,{{root}},src/emulator.rs,74,8,UnsafeBlockUserProvided,14592371,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
125641,5600,rgmsh,0.1.2,rgmsh,94469d355f40765c,2018,27526509,9649894,8594782,MacroBang,impl_model!,src/model/mod.rs,371,16,UnsafeBlockUserProvided,8310935,Unsafe,C,non-const,non-const,non-const,False,True,True,False,Choice
833577,69255,romy-sdl2,0.32.2,sdl2,c0882bfd84db4291,2015,313279173,113149117,101370889,Root,{{root}},src/sdl2/surface.rs,278,8,UnsafeBlockUserProvided,97217388,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
984536,89513,rustr,0.1.9,rustr,e95ae448164ebe47,2015,405275083,146278271,131053292,Root,{{root}},src/environment.rs,151,8,UnsafeBlockUserProvided,125993783,Unsafe,C,non-const,non-const,non-const,False,True,False,True,Callback
918029,81223,scoped_stateful_threadpool,0.1.8,scoped_stateful_threadpool,7d2dc63efa4e26b5,2015,367319235,132405260,118460749,Root,{{root}},src/lib.rs,144,28,UnsafeBlockUserProvided,113794961,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
408809,24104,scoped-tls,1.0.0,scoped_tls,9adf0e1f6b3bd236,2015,108200014,38551099,34747004,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/scoped-tls-1.0.0/src/lib.rs,170,8,UnsafeBlockUserProvided,33495619,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
987235,90388,sdl,0.3.6,sdl,755267f63c4ae4e5,2015,408947216,147721854,132406117,Root,{{root}},src/sdl/audio.rs,156,4,UnsafeBlockUserProvided,127251348,Normal,Rust,non-const,non-const,non-const,False,True,False,False,FFI
1026019,98002,sdl2_mixer,0.25.0,sdl2_mixer,9cd173b2cffff98d,2015,443677878,159924422,143372927,Root,{{root}},src/sdl2_mixer/lib.rs,725,4,UnsafeBlockUserProvided,137862946,Normal,Rust,non-const,non-const,non-const,False,True,False,True,Callback
629918,46184,servo-egl,0.2.1,egl,900de72c584f822d,2015,213097588,76560601,68202260,Root,{{root}},src/eglext.rs,47,4,UnsafeBlockUserProvided,65643752,Normal,C,non-const,non-const,non-const,False,True,False,False,FFI
739123,58771,sgx_tse,1.1.0,sgx_tse,e7f9c60f593e19bd,2018,267621368,96321319,86231472,Root,{{root}},src/alignbox.rs,214,8,UnsafeBlockUserProvided,82850606,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
