,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,locally_defined,is_submittable_by_client,Reason
162010,8052,wasmtime-runtime,0.9.0,wasmtime_runtime,11ff7a0d283be157,2018,38320767,13577892,12117118,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/wasmtime-runtime-0.9.0/src/instance.rs,209,20,UnsafeBlockUserProvided,11729749,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
1018843,96959,grust,0.3.2,grust,e2ba298f6ca653f1,2015,438866415,158353657,141904979,Root,{{root}},src/mainloop.rs,295,8,UnsafeBlockUserProvided,136472088,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
611820,44098,obfstr,0.1.0,obfstr,2dab2d5d06b01beb,2018,203883486,73069534,65055531,Root,{{root}},src/lib.rs,153,2,UnsafeBlockUserProvided,62838058,Unsafe,Rust,non-const,non-const,non-const,False,True,True,False,Prevent inlining
789234,63468,evmc-vm,7.1.0,evmc_vm,6baa8954582759bf,2018,288303306,104089802,93225749,Root,{{root}},src/lib.rs,291,8,UnsafeBlockUserProvided,89447114,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
125337,5554,indexing,0.4.1,indexing,555956aa986710ce,2018,27292396,9513657,8479200,Root,{{root}},src/algorithms.rs,329,8,UnsafeBlockUserProvided,8225920,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
657104,49046,scratchpad,1.3.0,scratchpad,2731879ed101b3c9,2015,226777555,81635128,72711411,Root,{{root}},src/traits.rs,905,8,UnsafeBlockUserProvided,69855592,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
594925,42092,alto,3.0.4,alto,bedc39c80e6b5381,2015,194181551,69621952,62102795,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/alto-3.0.4/src/efx/mod.rs,765,2,UnsafeBlockUserProvided,59934674,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
460107,28250,dashmap,2.1.1,dashmap,34befd4ea1d3fbbb,2018,127263182,45556203,40916869,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/dashmap-2.1.1/src/util.rs,13,4,UnsafeBlockUserProvided,39454383,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
305172,15021,slotmap,0.4.0,slotmap,4ad9d9e380cc94a0,2018,68513198,24520320,21941755,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/slotmap-0.4.0/src/hop.rs,384,8,UnsafeBlockUserProvided,21163505,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
789353,63511,pairlock,0.1.0,pairlock,55215e578dd2d6bf,2015,288362294,104112732,93250831,Root,{{root}},pairlock.rs,102,8,UnsafeBlockUserProvided,89469536,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
77105,3836,smallvec-stableunion,0.6.10,smallvec_stableunion,a901629796d97522,2015,18804469,6657070,5931757,Root,{{root}},lib.rs,863,8,UnsafeBlockUserProvided,5571206,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
741628,59038,ratel,0.7.0,ratel,e3c4def659134076,2015,269476694,96894766,86749058,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/ratel-0.7.0/src/transformer.rs,1014,8,UnsafeBlockUserProvided,83385119,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,False,Callback
795000,64197,cuba,0.1.13,cuba,6a9e2d5bc6776158,2015,291371059,105159350,94213992,Root,{{root}},src/lib.rs,340,8,UnsafeBlockUserProvided,90373697,Normal,Rust,non-const,non-const,non-const,False,True,False,True,Callback
751749,60490,kpal,0.1.0,kpal,303df8c22fc3504,2018,276200479,99597871,89163826,Root,{{root}},src/init/libraries.rs,155,4,UnsafeBlockUserProvided,85563158,Normal,C,non-const,non-const,non-const,False,True,False,False,FFI
