,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
235657,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[136]::ge[0],a5a7297813e9930491b1fe4f752c8f84,rust_extra.arrays.implement_arrays.ge,borrow of packed field
244141,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[87]::into_iter[0],6f1ae68bd2d6c7df9cf43b8481edd47,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
248098,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[6]::partial_cmp[0],5c4eedc045a326133c4df17585c22974,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
286711,pe,d772e081044817cc,pe[5631]::{{impl}}[0]::get_check_sum[0],a58d081fb2b30c6e3b18b234d715c2a0,pe.implement.get_check_sum,borrow of packed field
290016,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[65]::as_mut_ptr[0],7036f084a31eecbe3eb1c4ba424ec5fb,rust_extra.arrays.implement_arrays.as_mut_ptr,borrow of packed field
301850,dmi,8471fcce61989881,dmi[3116]::{{impl}}[22]::fmt[0],5c5fa7890dabec69aa5c9bce99d4e53b,dmi.implement_22.fmt,borrow of packed field
311797,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[97]::le[0],2bfef284681b1171fa3844af13bac03c,rust_extra.arrays.implement_arrays.le,borrow of packed field
330231,hydrogen,6e6b935db250b343,hydrogen[548a]::server[0]::update_io_events[0],ae0c7f5cf424d5ab4d0de24ba6e4b6ee,hydrogen.server.update_io_events,borrow of packed field
334817,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[0]::get_unchecked[0],9c17696478c56d374a27aebc162337c7,rust_extra.arrays.implement.get_unchecked,borrow of packed field
338900,dmi,8471fcce61989881,dmi[3116]::{{impl}}[12]::fmt[0],e9268891c304fa9a28b3c5d1716efbf2,dmi.implement_12.fmt,borrow of packed field
342875,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[6]::gt[0],cd0f4afdc93611e739d8527733311fd7,rust_extra.arrays.implement_arrays.gt,borrow of packed field
363239,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[19]::gt[0],226249a382615382e140be65d127b497,rust_extra.arrays.implement_arrays.gt,borrow of packed field
392902,minidump_common,8b3ea2540af5f235,minidump_common[e37e]::format[0]::{{impl}}[79]::x86_cpu_info[0],9e0563ea9eef274ddd9482e299baed26,minidump_common.format.implement_format.x86_cpu_info,borrow of packed field
422881,dmi,8471fcce61989881,dmi[3116]::{{impl}}[18]::fmt[0],aa78a3f0e2002b5121837d1b00c2036b,dmi.implement_18.fmt,borrow of packed field
425552,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[116]::as_mut[0],b82bab9eb5aea30971af55d59794a7da,rust_extra.arrays.implement_arrays.as_mut,borrow of packed field
437897,coreboot_table,868dac5bdab66cd0,coreboot_table[922f]::record[0]::{{impl}}[2]::fmt[0],57ecfbf24c4b3b73e441f67b2a77efeb,coreboot_table.record.implement_record.fmt,borrow of packed field
445496,coreboot_table,868dac5bdab66cd0,coreboot_table[922f]::serial[0]::{{impl}}[1]::clone[0],e85e412e6fcf6e0766214d4827c945c,coreboot_table.serial.implement_serial.clone,borrow of packed field
447414,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[154]::as_ref[0],9b22d3d30dbfef00bb0e7d71d5ae4b01,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
451150,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[32]::gt[0],4e3afab4ecdfd7dddbbadb59de31e61f,rust_extra.arrays.implement_arrays.gt,borrow of packed field
451742,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[153]::into_iter[0],4aa926974b9a60a83bb83ad8e978a870,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
458373,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[121]::eq[0],c4fb66b556b17e3fd9468f38a840449f,rust_extra.arrays.implement_arrays.eq,borrow of packed field
458752,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[85]::cmp[0],83bad656dd17563c5326b30eafb00d59,rust_extra.arrays.implement_arrays.cmp,borrow of packed field
460952,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[34]::hash[0],6e015ec2413a2779ce4564a1103be4cd,rust_extra.arrays.implement_arrays.hash,borrow of packed field
482560,multiboot,1ef2440825c22254,multiboot[f482]::{{impl}}[2]::fmt[0],d04a921b030ebc51730d2181776de13c,multiboot.implement_2.fmt,borrow of packed field
483608,dmi,8471fcce61989881,dmi[3116]::{{impl}}[14]::clone[0],c3ba82fb639dad19f9c5705dd7a38e8c,dmi.implement_14.clone,borrow of packed field
503634,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[137]::cmp[0],9f88b554c85d900b174dfd1963f21fad,rust_extra.arrays.implement_arrays.cmp,borrow of packed field
506131,pe,d772e081044817cc,pe[5631]::{{impl}}[0]::get_number_of_rva_and_sizes[0],9a57608667617d3b9cd86db205d3e977,pe.implement.get_number_of_rva_and_sizes,borrow of packed field
515597,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[65]::as_ptr[0],42a77a7a3ba7b4b03d5d827077d6bf07,rust_extra.arrays.implement_arrays.as_ptr,borrow of packed field
530216,minidump_common,8b3ea2540af5f235,minidump_common[e37e]::format[0]::{{impl}}[10]::flt_save[0],8c4f1bc0f9c06d66ad17e6388867787a,minidump_common.format.implement_format.flt_save,borrow of packed field
535686,elrond,9ff59a474db56cd8,elrond[b804]::symtable[0]::symtable32[0]::{{impl}}[14]::clone[0],169f2b52976b8c44d09b3353cb393d55,elrond.symtable.symtable32.implement_symtable32.clone,borrow of packed field
