,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
840621,66658,soketto,0.3.1,soketto,cd6f11b8e6573c7f,2018,302332395,109516498,98104352,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/soketto-0.3.1/src/lib.rs,247,8,UnsafeBlockUserProvided,93891406,Unsafe,Rust,bytes,bytes[2d6f]::buf[0]::buf_mut[0]::BufMut[0]::advance_mut[0],bytes.buf.buf_mut.BufMut.advance_mut,True,,,,,
443097,25436,sparkle,0.1.14,sparkle,20279acd32f24ced,2018,114280918,40892345,36782429,Root,{{root}},src/lib.rs,773,16,UnsafeBlockUserProvided,35465691,Normal,Rust,alloc,alloc[5a1b]::string[0]::ToString[0]::to_string[0],alloc.string.ToString.to_string,True,,,,,
417928,23892,sqlite,0.25.0,sqlite,2d0aef47afe6a58d,2015,107159433,38345626,34492845,Root,{{root}},src/statement.rs,261,8,UnsafeBlockUserProvided,33284002,Normal,Rust,alloc,alloc[5a1b]::string[0]::ToString[0]::to_string[0],alloc.string.ToString.to_string,True,,,,,
842167,66847,std,0.0.0,std,66af2161c9642143,2018,302928383,109764713,98339251,Root,{{root}},/home/vakaras/.rustup/toolchains/nightly-2020-02-03-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/src/libstd/sys/unix/os.rs,110,4,UnsafeBlockUserProvided,94120759,Normal,Rust,alloc,alloc[5a1b]::borrow[0]::ToOwned[0]::to_owned[0],alloc.borrow.ToOwned.to_owned,True,,,,,
842411,66847,std,0.0.0,std,66af2161c9642143,2018,302931284,109766013,98340479,Root,{{root}},/home/vakaras/.rustup/toolchains/nightly-2020-02-03-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/src/libstd/rt.rs,36,4,UnsafeBlockUserProvided,94121964,Normal,Rust,alloc,alloc[5a1b]::borrow[0]::ToOwned[0]::to_owned[0],alloc.borrow.ToOwned.to_owned,True,,,,,
939916,79753,surfman,0.1.3,surfman,d4a6fd90fd31e06d,2018,360352894,130361745,116747918,Root,{{root}},src/platform/unix/wayland/context.rs,171,8,UnsafeBlockUserProvided,111779597,Normal,Rust,surfman,surfman[c2f5]::platform[0]::unix[0]::wayland[0]::connection[0]::NativeConnection[0]::egl_display[0],surfman.platform.unix.wayland.connection.NativeConnection.egl_display,True,,,,,
816963,63095,typevec,0.1.0,typevec,521b88aa7c8afc8b,2015,287981364,104189383,93272970,Root,{{root}},src/lib.rs,73,37,UnsafeBlockUserProvided,89321042,Unsafe,Rust,unsafe_any,unsafe_any[a33e]::UnsafeAnyExt[0]::downcast_ref_unchecked[0],unsafe_any.UnsafeAnyExt.downcast_ref_unchecked,True,,,,,
758948,58471,tokio-either,0.1.4,tokio_either,8c8967e5c3da31c0,2018,268075403,96612492,86449345,Root,{{root}},src/lib.rs,63,8,UnsafeBlockUserProvided,82905960,Normal,Rust,tokio,tokio[b350]::io[0]::async_write[0]::AsyncWrite[0]::poll_shutdown[0],tokio.io.async_write.AsyncWrite.poll_shutdown,True,,,,,
131036,5139,tower-limit,0.3.0,tower_limit,e6bf08632ed43b11,2018,25815469,9139278,8102979,MacroDerive,#[derive(::pin_project::__private::__PinProjectInternalDerive)],/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/tower-limit-0.3.0/src/concurrency/future.rs,14,0,UnsafeBlockUserProvided,7802316,Unsafe,Rust,pin_project,pin_project[c6f0]::__private[0]::PinnedDrop[0]::drop[0],pin_project.__private.PinnedDrop.drop,True,,,,,
633827,44715,tract,0.5.8,tract,958eb974c08a191c,2018,206211684,74132369,66100511,Root,{{root}},src/tensor.rs,104,8,UnsafeBlockUserProvided,63668373,Normal,Rust,tract_core,tract_core[9ea4]::tensor[0]::IntoTensor[0]::into_tensor[0],tract_core.tensor.IntoTensor.into_tensor,True,,,,,
682874,49758,vec_file,0.1.1,vec_file,663a960204f7597a,2018,230457356,83208579,74080659,Root,{{root}},src/vec_file.rs,851,4,UnsafeBlockUserProvided,71058452,Normal,Rust,desse,desse[a912]::desse[0]::Desse[0]::deserialize_from[0],desse.desse.Desse.deserialize_from,True,,,,,
282616,12789,vk-mem,0.2.0,vk_mem,e4d9e3461ac77934,2018,58932483,21081459,18905210,Root,{{root}},src/lib.rs,756,31,UnsafeBlockUserProvided,18177641,Normal,Rust,ash,ash[575e]::device[0]::DeviceV1_0[0]::fp_v1_0[0],ash.device.DeviceV1_0.fp_v1_0,True,,,,,
850011,67934,voodoo_winit,0.1.1,voodoo_winit,e25c9beadffc7d67,2015,308135277,111565343,99932224,Root,{{root}},src/lib.rs,14,4,UnsafeBlockUserProvided,95619318,Normal,Rust,winit,winit[c58b]::os[0]::unix[0]::WindowExt[0]::get_xlib_window[0],winit.os.unix.WindowExt.get_xlib_window,True,,,,,
727740,54559,webkit2gtk-webextension,0.8.1,webkit2gtk_webextension,b8ca045be0e5b45,2015,251952681,90656054,80927835,Root,{{root}},src/auto/dom_html_text_area_element.rs,373,8,UnsafeBlockUserProvided,77744243,Normal,Rust,glib,glib[3a3c]::object[0]::ObjectType[0]::as_ptr[0],glib.object.ObjectType.as_ptr,True,,,,,
1096004,101785,workspace,0.4.2,workspace,8230a0e5be0fd89b,2018,461554939,166808093,149505864,MacroBang,log!,src/macros.rs,36,8,UnsafeBlockUserProvided,143374983,Normal,Rust,colored,colored[b669]::Colorize[0]::bright_blue[0],colored.Colorize.bright_blue,True,,,,,
