,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
805521,65184,digilent-waveforms,0.0.16,digilent_waveforms,60f38f5c1c6d36ff,2018,295310499,106702600,95574367,Root,{{root}},src/lib.rs,301,8,UnsafeBlockUserProvided,91628879,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True,True,True,False,False,False
655858,48703,dyn-clone,1.0.1,dyn_clone,57b33b3bcf3fc125,2018,225345909,81103047,72217552,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/dyn-clone-1.0.1/src/lib.rs,83,4,UnsafeBlockUserProvided,69374159,Unsafe,Rust,dyn_clone,dyn_clone[9e0b]::DynClone[0]::clone_box[0],dyn_clone.DynClone.clone_box,True,True,False,False,True,False
1026658,98309,dominator,0.5.6,dominator,e2bb93a776b3f92b,2018,445337955,160592850,143959479,MacroAttr,#[wasm_bindgen],src/bindings.rs,7,0,UnsafeBlockUserProvided,138344887,Normal,Rust,wasm_bindgen,wasm_bindgen[9867]::convert[0]::traits[0]::IntoWasmAbi[0]::into_abi[0],wasm_bindgen.convert.traits.IntoWasmAbi.into_abi,True,True,True,False,False,False
575082,39188,doublepivot-quicksort,0.2.0,quicksort,22642e95cf275cad,2015,180632492,64896992,57980328,Root,{{root}},src/lib.rs,11,1,UnsafeBlockUserProvided,55817364,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True,True,False,False,True,False
122934,5113,drone-core,0.11.1,drone_core,413212b3dfc0f69d,2018,25596659,8989580,7985390,Root,{{root}},src/thr/preempted.rs,22,4,UnsafeBlockUserProvided,7739486,Unsafe,Rust,drone_core,drone_core[483e]::thr[0]::Thread[0]::local[0],drone_core.thr.Thread.local,True,True,False,False,True,False
995675,91855,drone-cortex-m,0.11.1,drone_cortex_m,ee32520669b2c256,2018,416328391,150352303,134748626,Root,{{root}},src/fib/proc/fiber.rs,234,8,UnsafeBlockUserProvided,129496205,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True,True,True,False,False,False
380254,19642,drone-stm32l4,0.1.2,drone_stm32l4,e03176e80adc3b34,2015,88023651,31491901,28291041,Root,{{root}},src/reg/rcc.rs,297,4,UnsafeBlockUserProvided,27391119,Normal,Rust,drone_core,drone_core[e1a2]::reg[0]::value[0]::RawValue[0]::read_bits[0],drone_core.reg.value.RawValue.read_bits,True,True,True,False,False,False
263975,11888,edf-reader,0.6.0,edf_reader,fb9f1531016dddba,2018,55049186,19585364,17563183,Root,{{root}},src/lib.rs,26,4,UnsafeBlockUserProvided,16923768,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True,True,True,False,False,False
495383,31062,efm32hg309f64,0.1.0,efm32hg309f64,df0e38ca27bf6927,2018,141826098,50735241,45439922,Root,{{root}},src/usart1/input.rs,98,8,UnsafeBlockUserProvided,43723680,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True,True,True,False,False,False
913054,80494,egaku2d_core,0.2.1,egaku2d_core,b8500e0a0f96eea7,2018,363649619,131197839,117360654,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/egaku2d_core-0.2.1/src/shader.rs,9,4,UnsafeBlockUserProvided,112735219,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
